# gzz component calculated with tessgzz 1.0:
#   local time: Tue Mar 22 20:23:11 2011
#   model file: tess.txt (1 tesseroids)
#   GLQ order: 2 lon / 2 lat / 2 r
#   Use adaptative algorithm: False
# gyz component calculated with tessgyz 1.0:
#   local time: Tue Mar 22 20:23:11 2011
#   model file: tess.txt (1 tesseroids)
#   GLQ order: 2 lon / 2 lat / 2 r
#   Use adaptative algorithm: False
# gyy component calculated with tessgyy 1.0:
#   local time: Tue Mar 22 20:23:11 2011
#   model file: tess.txt (1 tesseroids)
#   GLQ order: 2 lon / 2 lat / 2 r
#   Use adaptative algorithm: False
# gxz component calculated with tessgxz 1.0:
#   local time: Tue Mar 22 20:23:11 2011
#   model file: tess.txt (1 tesseroids)
#   GLQ order: 2 lon / 2 lat / 2 r
#   Use adaptative algorithm: False
# gxy component calculated with tessgxy 1.0:
#   local time: Tue Mar 22 20:23:11 2011
#   model file: tess.txt (1 tesseroids)
#   GLQ order: 2 lon / 2 lat / 2 r
#   Use adaptative algorithm: False
# gxx component calculated with tessgxx 1.0:
#   local time: Tue Mar 22 20:23:11 2011
#   model file: tess.txt (1 tesseroids)
#   GLQ order: 2 lon / 2 lat / 2 r
#   Use adaptative algorithm: False
# gz component calculated with tessgz 1.0:
#   local time: Tue Mar 22 20:23:11 2011
#   model file: tess.txt (1 tesseroids)
#   GLQ order: 2 lon / 2 lat / 2 r
#   Use adaptative algorithm: False
2.50003e-05 -0.000475 5.0 0.000529778 0.999256 -0.0803497 -0.289771 -0.524411 0.0152325 -0.474845
5.00003e-05 -0.000475 5.0 0.000523483 0.975439 -0.157539 -0.284061 -0.505806 0.0298657 -0.469632
7.50003e-05 -0.000475 5.0 0.000513261 0.937272 -0.228692 -0.274887 -0.476124 0.0433543 -0.461149
0.0001 -0.000475 5.0 0.0004995 0.886888 -0.291457 -0.262725 -0.437195 0.0552525 -0.449693
0.000125 -0.000475 5.0 0.000482688 0.826909 -0.34417 -0.248166 -0.391263 0.0652445 -0.435642
0.00015 -0.000475 5.0 0.00046338 0.760179 -0.385903 -0.231854 -0.340754 0.0731545 -0.419425
0.000175 -0.000475 5.0 0.000442167 0.68957 -0.41647 -0.214445 -0.288057 0.0789472 -0.401512
0.0002 -0.000475 5.0 0.000419628 0.617699 -0.436299 -0.196546 -0.23533 0.0827034 -0.382367
0.000225 -0.000475 5.0 0.000396308 0.546815 -0.446297 -0.178687 -0.184382 0.0845954 -0.362433
0.00025 -0.000475 5.0 0.000372694 0.478716 -0.447697 -0.1613 -0.136602 0.084857 -0.342115
0.000275 -0.000475 5.0 0.000349204 0.414728 -0.441896 -0.144717 -0.092959 0.0837535 -0.321769
0.0003 -0.000475 5.0 0.00032618 0.355721 -0.430328 -0.129168 -0.0540275 0.0815563 -0.301693
0.000325 -0.000475 5.0 0.000303888 0.302175 -0.414361 -0.114793 -0.020049 0.0785256 -0.282127
0.000350001 -0.000475 5.0 0.000282528 0.254255 -0.39524 -0.101663 0.00899975 0.0748974 -0.263255
0.000375001 -0.000475 5.0 0.000262237 0.211883 -0.374047 -0.0897873 0.0333329 0.0708767 -0.245216
0.000400001 -0.000475 5.0 0.0002431 0.174802 -0.351682 -0.0791341 0.0532976 0.0666343 -0.228098
0.000425001 -0.000475 5.0 0.000225157 0.142641 -0.328868 -0.0696407 0.0693144 0.0623074 -0.211955
0.000450001 -0.000475 5.0 0.000208418 0.114971 -0.306171 -0.0612269 0.08184 0.0580034 -0.196811
0.000475001 -0.000475 5.0 0.000192864 0.091332 -0.284015 -0.0538022 0.0913332 0.0538024 -0.182665
-0.0005 -0.00045 5.0 0.000192079 0.0612737 0.281308 -0.050624 0.120674 -0.0562508 -0.181948
-0.000475 -0.00045 5.0 0.000208419 0.0818394 0.306172 -0.0580035 0.114971 -0.0612271 -0.196811
-0.00045 -0.00045 5.0 0.000226182 0.10644 0.332391 -0.0664753 0.10644 -0.0664753 -0.21288
-0.000425 -0.00045 5.0 0.000245438 0.135674 0.359686 -0.0761733 0.0945206 -0.0719395 -0.230195
-0.0004 -0.00045 5.0 0.000266235 0.170168 0.387636 -0.0872327 0.0786115 -0.0775356 -0.248779
-0.000375 -0.00045 5.0 0.000288594 0.210542 0.415639 -0.099782 0.0580833 -0.0831432 -0.268626
-0.00035 -0.00045 5.0 0.000312497 0.257376 0.442894 -0.113934 0.0323199 -0.0886018 -0.289697
-0.000325 -0.00045 5.0 0.000337875 0.311142 0.468355 -0.12977 0.000762896 -0.093702 -0.311906
-0.0003 -0.00045 5.0 0.000364593 0.372128 0.490724 -0.147319 -0.0370185 -0.0981838 -0.335111
-0.000275 -0.00045 5.0 0.000392437 0.440346 0.508452 -0.166543 -0.0812394 -0.101737 -0.359108
-0.00025 -0.00045 5.0 0.0004211 0.515417 0.519765 -0.187303 -0.131802 -0.104006 -0.383616
-0.000225 -0.00045 5.0 0.000450171 0.596459 0.522742 -0.20934 -0.188185 -0.104607 -0.408276
-0.0002 -0.00045 5.0 0.000479133 0.681994 0.515441 -0.232257 -0.249343 -0.10315 -0.432652
-0.000175 -0.00045 5.0 0.000507358 0.769863 0.49605 -0.255493 -0.313639 -0.0992728 -0.456227
-0.00015 -0.00045 5.0 0.000534135 0.857251 0.463139 -0.278344 -0.378824 -0.0926886 -0.47843
-0.000125 -0.00045 5.0 0.000558681 0.94075 0.415872 -0.29997 -0.442101 -0.0832304 -0.49865
-9.99998e-05 -0.00045 5.0 0.000580195 1.01655 0.354251 -0.319448 -0.500282 -0.0708987 -0.516266
-7.49998e-05 -0.00045 5.0 0.000597893 1.08071 0.279284 -0.335832 -0.550033 -0.0558954 -0.530686
-4.99997e-05 -0.00045 5.0 0.000611094 1.12962 0.193064 -0.348264 -0.58823 -0.0386396 -0.541399
-2.49997e-05 -0.00045 5.0 0.000619247 1.16028 0.0986794 -0.356032 -0.612287 -0.0197496 -0.547999
2.91038e-10 -0.00045 5.0 0.000622006 1.17073 -1.1815e-06 -0.358676 -0.620506 2.36464e-07 -0.550229
2.50003e-05 -0.00045 5.0 0.000619247 1.16028 -0.0986818 -0.356032 -0.612287 0.0197501 -0.547999
5.00003e-05 -0.00045 5.0 0.000611094 1.12962 -0.193066 -0.348264 -0.588229 0.0386401 -0.541399
7.50003e-05 -0.00045 5.0 0.000597892 1.08071 -0.279285 -0.335832 -0.550032 0.0558957 -0.530685
0.0001 -0.00045 5.0 0.000580193 1.01654 -0.354249 -0.319446 -0.50028 0.0708983 -0.516265
0.000125 -0.00045 5.0 0.000558681 0.94075 -0.415872 -0.29997 -0.442101 0.0832304 -0.49865
0.00015 -0.00045 5.0 0.000534135 0.857251 -0.463139 -0.278344 -0.378824 0.0926886 -0.47843
0.000175 -0.00045 5.0 0.000507358 0.769863 -0.49605 -0.255493 -0.313639 0.0992728 -0.456227
0.0002 -0.00045 5.0 0.000479133 0.681994 -0.515441 -0.232257 -0.249343 0.10315 -0.432652
0.000225 -0.00045 5.0 0.000450171 0.596459 -0.522742 -0.20934 -0.188185 0.104607 -0.408276
0.00025 -0.00045 5.0 0.0004211 0.515417 -0.519765 -0.187303 -0.131802 0.104006 -0.383616
0.000275 -0.00045 5.0 0.000392437 0.440346 -0.508452 -0.166543 -0.0812394 0.101737 -0.359108
0.0003 -0.00045 5.0 0.000364593 0.372128 -0.490724 -0.147319 -0.0370185 0.0981838 -0.335111
0.000325 -0.00045 5.0 0.000337875 0.311142 -0.468355 -0.12977 0.000762896 0.093702 -0.311906
0.000350001 -0.00045 5.0 0.000312496 0.257375 -0.442893 -0.113934 0.0323211 0.0886016 -0.289697
