# gzz component calculated with tessgzz 1.0:
#   local time: Fri Mar 18 20:09:38 2011
#   model file: tess.txt (1 tesseroids)
#   GLQ order: 2 lon / 2 lat / 2 r
#   Use adaptative algorithm: False
# gyz component calculated with tessgyz 1.0:
#   local time: Fri Mar 18 20:09:38 2011
#   model file: tess.txt (1 tesseroids)
#   GLQ order: 2 lon / 2 lat / 2 r
#   Use adaptative algorithm: False
# gyy component calculated with tessgyy 1.0:
#   local time: Fri Mar 18 20:09:38 2011
#   model file: tess.txt (1 tesseroids)
#   GLQ order: 2 lon / 2 lat / 2 r
#   Use adaptative algorithm: False
# gxz component calculated with tessgxz 1.0:
#   local time: Fri Mar 18 20:09:38 2011
#   model file: tess.txt (1 tesseroids)
#   GLQ order: 2 lon / 2 lat / 2 r
#   Use adaptative algorithm: False
# gxy component calculated with tessgxy 1.0:
#   local time: Fri Mar 18 20:09:38 2011
#   model file: tess.txt (1 tesseroids)
#   GLQ order: 2 lon / 2 lat / 2 r
#   Use adaptative algorithm: False
# gxx component calculated with tessgxx 1.0:
#   local time: Fri Mar 18 20:09:38 2011
#   model file: tess.txt (1 tesseroids)
#   GLQ order: 2 lon / 2 lat / 2 r
#   Use adaptative algorithm: False
# gz component calculated with tessgz 1.0:
#   local time: Fri Mar 18 20:09:38 2011
#   model file: tess.txt (1 tesseroids)
#   GLQ order: 2 lon / 2 lat / 2 r
#   Use adaptative algorithm: False
0.4 -0.95 20000 0.0112264 0.00761054 -0.00539529 -0.00261856 -0.00293103 0.00110258 -0.00467951
0.45 -0.95 20000 0.0106231 0.00673647 -0.00551898 -0.00238519 -0.00229983 0.00112987 -0.00443663
0.5 -0.95 20000 0.0100117 0.00589682 -0.00553647 -0.00215777 -0.00170784 0.00113572 -0.00418898
0.55 -0.95 20000 0.00940315 0.00510786 -0.00546503 -0.00194057 -0.00116699 0.00112355 -0.00394087
0.6 -0.95 20000 0.00880613 0.00438033 -0.00532233 -0.00173662 -0.000684388 0.00109688 -0.00369594
0.65 -0.95 20000 0.00822759 0.00372015 -0.0051253 -0.00154778 -0.000263016 0.00105908 -0.00345713
0.7 -0.95 20000 0.00767267 0.00312931 -0.00488928 -0.00137497 9.73966e-05 0.00101322 -0.00322671
0.75 -0.95 20000 0.00714491 0.00260683 -0.00462759 -0.00121836 0.000399506 0.000961957 -0.00300633
0.8 -0.95 20000 0.00664656 0.00214955 -0.00435135 -0.00107758 0.000647571 0.000907528 -0.00279713
0.85 -0.95 20000 0.00617873 0.00175297 -0.00406952 -0.000951835 0.000846788 0.000851741 -0.00259975
0.9 -0.95 20000 0.00574166 0.00141174 -0.00378907 -0.000840124 0.00100277 0.000796008 -0.00241451
0.95 -0.95 20000 0.00533496 0.00112022 -0.00351522 -0.000741292 0.00112119 0.000741394 -0.00224141
-1.0 -0.9 20000 0.0053144 0.000748301 0.00348171 -0.000697663 0.00148434 -0.000775294 -0.00223264
-0.95 -0.9 20000 0.00574166 0.00100179 0.00378902 -0.000795898 0.00141272 -0.000840228 -0.00241451
-0.9 -0.9 20000 0.00620544 0.00130502 0.00411301 -0.000908371 0.00130603 -0.000908483 -0.00261105
-0.85 -0.9 20000 0.00670745 0.00166537 0.00445021 -0.00103679 0.00115737 -0.000979302 -0.00282274
-0.8 -0.9 20000 0.00724889 0.00209055 0.0047954 -0.00118288 0.0009593 -0.00105156 -0.00304985
-0.75 -0.9 20000 0.00783024 0.0025882 0.00514118 -0.00134828 0.000704078 -0.00112367 -0.00329227
-0.7 -0.9 20000 0.00845098 0.00316542 0.00547762 -0.00153439 0.000384093 -0.00119352 -0.00354951
-0.65 -0.9 20000 0.00910928 0.00382803 0.00579182 -0.00174223 -7.52517e-06 -0.00125837 -0.0038205
-0.6 -0.9 20000 0.00980162 0.00457957 0.00606779 -0.00197215 -0.00047607 -0.00131485 -0.0041035
-0.55 -0.9 20000 0.0105225 0.00542018 0.00628642 -0.00222359 -0.0010242 -0.00135892 -0.00439598
-0.5 -0.9 20000 0.0112639 0.00634522 0.00642585 -0.00249472 -0.00165069 -0.00138601 -0.00469453
